i,t,m,age,sex,HH_size
96098,2017,USA,42,Male,3
96099,2017,USA,63,Male,6
96100,2017,USA,65,Male,1
96101,2017,USA,52,Male,6
96102,2017,USA,7,Male,5
96103,2017,USA,23,Female,6
96104,2017,USA,17,Male,4
96105,2017,USA,24,Female,3
96106,2017,USA,10,Female,3
96107,2017,USA,23,Female,5
96108,2017,USA,47,Female,4
96109,2017,USA,8,Male,5
96110,2017,USA,65,Male,7
96111,2017,USA,31,Female,5
96112,2017,USA,73,Male,1
96113,2017,USA,2,Male,3
96114,2017,USA,68,Male,1
96115,2017,USA,71,Female,1
96116,2017,USA,54,Female,5
96117,2017,USA,68,Male,3
96118,2017,USA,2,Female,4
96119,2017,USA,14,Female,5
96120,2017,USA,60,Male,7
96121,2017,USA,65,Female,2
96122,2017,USA,54,Female,4
96123,2017,USA,35,Female,4
96124,2017,USA,52,Female,5
96125,2017,USA,28,Female,2
96126,2017,USA,5,Male,6
96127,2017,USA,17,Male,5
96128,2017,USA,16,Male,3
96129,2017,USA,5,Male,2
96130,2017,USA,61,Male,7
96131,2017,USA,3,Male,5
96132,2017,USA,16,Male,5
96133,2017,USA,32,Male,3
96134,2017,USA,65,Female,2
96135,2017,USA,73,Female,2
96136,2017,USA,62,Male,4
96137,2017,USA,48,Female,4
96138,2017,USA,34,Male,3
96139,2017,USA,27,Male,3
96140,2017,USA,54,Male,7
96141,2017,USA,60,Male,5
96142,2017,USA,3,Male,3
96143,2017,USA,55,Male,2
96144,2017,USA,64,Female,1
96145,2017,USA,78,Female,2
96146,2017,USA,5.40E-79,Female,4
96147,2017,USA,31,Male,1
96148,2017,USA,2,Female,5
96149,2017,USA,63,Female,2
96150,2017,USA,23,Male,1
96151,2017,USA,57,Male,5
96152,2017,USA,61,Male,7
96153,2017,USA,10,Female,5
96154,2017,USA,1,Female,3
96155,2017,USA,4,Male,4
96156,2017,USA,46,Male,4
96157,2017,USA,11,Male,5
96158,2017,USA,26,Male,3
96159,2017,USA,61,Female,1
96160,2017,USA,58,Female,2
96161,2017,USA,9,Female,4
96162,2017,USA,60,Female,2
96163,2017,USA,35,Female,2
96164,2017,USA,64,Female,2
96165,2017,USA,64,Female,3
96166,2017,USA,8,Female,3
96167,2017,USA,80,Female,1
96168,2017,USA,13,Female,6
96169,2017,USA,63,Female,2
96170,2017,USA,72,Female,2
96171,2017,USA,80,Female,1
96172,2017,USA,80,Female,1
96173,2017,USA,61,Female,2
96174,2017,USA,8,Male,5
96175,2017,USA,39,Male,5
96176,2017,USA,6,Male,6
96177,2017,USA,16,Female,4
96178,2017,USA,63,Male,2
96179,2017,USA,64,Male,2
96180,2017,USA,4,Female,3
96181,2017,USA,74,Male,1
96182,2017,USA,5.40E-79,Female,4
96183,2017,USA,5.40E-79,Male,5
96184,2017,USA,80,Male,3
96185,2017,USA,75,Female,3
96186,2017,USA,45,Male,5
96187,2017,USA,11,Male,5
96188,2017,USA,55,Female,6
96189,2017,USA,50,Male,2
96190,2017,USA,54,Male,5
96191,2017,USA,39,Female,4
96192,2017,USA,14,Female,6
96193,2017,USA,8,Male,3
96194,2017,USA,4,Female,3
96195,2017,USA,80,Male,2
96196,2017,USA,34,Female,6
96197,2017,USA,12,Male,5
96198,2017,USA,29,Female,2
96199,2017,USA,7,Male,6
96200,2017,USA,5.40E-79,Male,5
96201,2017,USA,11,Male,5
96202,2017,USA,10,Male,5
96203,2017,USA,5,Male,6
96204,2017,USA,3,Female,4
96205,2017,USA,52,Male,3
96206,2017,USA,9,Male,5
96207,2017,USA,3,Female,4
96208,2017,USA,2,Female,6
96209,2017,USA,2,Male,4
96210,2017,USA,80,Male,1
96211,2017,USA,32,Male,2
96212,2017,USA,5.40E-79,Female,6
96213,2017,USA,17,Female,6
96214,2017,USA,13,Female,7
96215,2017,USA,5.40E-79,Female,5
96216,2017,USA,56,Female,2
96217,2017,USA,71,Male,2
96218,2017,USA,42,Female,2
96219,2017,USA,41,Female,7
96220,2017,USA,33,Male,3
96221,2017,USA,66,Male,3
96222,2017,USA,40,Female,3
96223,2017,USA,70,Male,2
96224,2017,USA,59,Female,2
96225,2017,USA,6,Male,5
96226,2017,USA,31,Male,3
96227,2017,USA,6,Female,5
96228,2017,USA,4,Male,3
96229,2017,USA,24,Female,3
96230,2017,USA,60,Male,2
96231,2017,USA,2,Female,4
96232,2017,USA,7,Male,4
96233,2017,USA,18,Male,4
96234,2017,USA,40,Male,5
96235,2017,USA,17,Male,7
96236,2017,USA,78,Female,1
96237,2017,USA,58,Female,1
96238,2017,USA,18,Male,4
96239,2017,USA,69,Female,2
96240,2017,USA,42,Female,7
96241,2017,USA,18,Female,3
96242,2017,USA,64,Male,1
96243,2017,USA,29,Female,2
96244,2017,USA,38,Female,6
96245,2017,USA,60,Female,2
96246,2017,USA,12,Female,6
96247,2017,USA,11,Male,4
96248,2017,USA,7,Female,7
96249,2017,USA,58,Female,5
96250,2017,USA,42,Male,3
96251,2017,USA,4,Female,5
96252,2017,USA,79,Female,3
96253,2017,USA,47,Female,4
96254,2017,USA,3,Male,5
96255,2017,USA,5.40E-79,Male,4
96256,2017,USA,1,Male,7
96257,2017,USA,32,Female,3
96258,2017,USA,6,Female,6
96259,2017,USA,9,Male,4
96260,2017,USA,12,Male,6
96261,2017,USA,16,Female,5
96262,2017,USA,52,Male,4
96263,2017,USA,12,Male,7
96264,2017,USA,45,Female,1
96265,2017,USA,66,Male,1
96266,2017,USA,53,Female,5
96267,2017,USA,5.40E-79,Male,4
96268,2017,USA,80,Male,2
96269,2017,USA,33,Female,7
96270,2017,USA,25,Male,2
96271,2017,USA,70,Male,2
96272,2017,USA,29,Male,7
96273,2017,USA,13,Male,3
96274,2017,USA,6,Male,6
96275,2017,USA,31,Female,2
96276,2017,USA,49,Male,1
96277,2017,USA,5,Female,5
96278,2017,USA,30,Female,5
96279,2017,USA,54,Female,3
96280,2017,USA,19,Female,2
96281,2017,USA,15,Female,6
96282,2017,USA,49,Male,5
96283,2017,USA,46,Male,2
96284,2017,USA,71,Male,2
96285,2017,USA,16,Female,2
96286,2017,USA,12,Male,5
96287,2017,USA,74,Female,1
96288,2017,USA,19,Male,1
96289,2017,USA,17,Male,5
96290,2017,USA,73,Female,2
96291,2017,USA,53,Female,6
96292,2017,USA,4,Female,4
96293,2017,USA,64,Male,3
96294,2017,USA,15,Female,6
96295,2017,USA,31,Male,2
96296,2017,USA,72,Female,2
96297,2017,USA,32,Female,4
96298,2017,USA,17,Male,7
96299,2017,USA,29,Male,5
96300,2017,USA,7,Female,5
96301,2017,USA,54,Male,1
96302,2017,USA,72,Male,1
96303,2017,USA,4,Male,2
96304,2017,USA,60,Female,7
96305,2017,USA,12,Male,7
96306,2017,USA,80,Female,2
96307,2017,USA,5.40E-79,Female,4
96308,2017,USA,53,Male,1
96309,2017,USA,76,Female,2
96310,2017,USA,54,Male,6
96311,2017,USA,19,Female,6
96312,2017,USA,31,Female,5
96313,2017,USA,29,Female,3
96314,2017,USA,3,Female,4
96315,2017,USA,13,Male,4
96316,2017,USA,5.40E-79,Male,2
96317,2017,USA,68,Male,3
96318,2017,USA,41,Female,5
96319,2017,USA,70,Female,1
96320,2017,USA,46,Male,4
96321,2017,USA,69,Male,1
96322,2017,USA,34,Female,7
96323,2017,USA,63,Male,3
96324,2017,USA,5.40E-79,Male,3
96325,2017,USA,26,Female,5
96326,2017,USA,14,Male,2
96327,2017,USA,10,Female,7
96328,2017,USA,12,Male,7
96329,2017,USA,42,Female,3
96330,2017,USA,64,Male,2
96331,2017,USA,6,Male,2
96332,2017,USA,49,Male,4
96333,2017,USA,60,Female,4
96334,2017,USA,10,Female,5
96335,2017,USA,80,Male,2
96336,2017,USA,74,Male,2
96337,2017,USA,20,Male,5
96338,2017,USA,19,Female,3
96339,2017,USA,71,Female,2
96340,2017,USA,49,Male,2
96341,2017,USA,7,Male,7
96342,2017,USA,80,Female,1
96343,2017,USA,8,Male,6
96344,2017,USA,42,Female,1
96345,2017,USA,13,Male,3
96346,2017,USA,29,Male,7
96347,2017,USA,15,Female,5
96348,2017,USA,54,Male,2
96349,2017,USA,76,Male,1
96350,2017,USA,19,Male,5
96351,2017,USA,60,Male,3
96352,2017,USA,67,Male,2
96353,2017,USA,1,Male,4
96354,2017,USA,3,Female,7
96355,2017,USA,20,Female,7
96356,2017,USA,2,Male,3
96357,2017,USA,69,Male,2
96358,2017,USA,48,Female,1
96359,2017,USA,5.40E-79,Male,2
96360,2017,USA,72,Female,2
96361,2017,USA,17,Female,5
96362,2017,USA,61,Female,2
96363,2017,USA,10,Female,6
96364,2017,USA,6,Female,7
96365,2017,USA,39,Female,2
96366,2017,USA,61,Female,2
96367,2017,USA,58,Male,2
96368,2017,USA,31,Female,2
96369,2017,USA,15,Male,7
96370,2017,USA,77,Female,2
96371,2017,USA,14,Female,7
96372,2017,USA,50,Male,3
96373,2017,USA,53,Male,2
96374,2017,USA,16,Female,6
96375,2017,USA,80,Male,1
96376,2017,USA,12,Male,6
96377,2017,USA,52,Female,2
96378,2017,USA,7,Male,7
96379,2017,USA,21,Female,6
96380,2017,USA,43,Male,3
96381,2017,USA,4,Female,5
96382,2017,USA,29,Male,4
96383,2017,USA,17,Female,3
96384,2017,USA,5.40E-79,Male,4
96385,2017,USA,59,Female,6
96386,2017,USA,62,Male,1
96387,2017,USA,4,Female,6
96388,2017,USA,18,Male,5
96389,2017,USA,77,Female,2
96390,2017,USA,46,Male,4
96391,2017,USA,16,Male,4
96392,2017,USA,28,Female,2
96393,2017,USA,71,Male,2
96394,2017,USA,7,Female,4
96395,2017,USA,10,Female,6
96396,2017,USA,38,Male,7
96397,2017,USA,9,Male,5
96398,2017,USA,32,Male,2
96399,2017,USA,42,Male,5
96400,2017,USA,32,Male,4
96401,2017,USA,13,Female,5
96402,2017,USA,18,Male,3
96403,2017,USA,23,Male,5
96404,2017,USA,74,Female,3
96405,2017,USA,23,Female,7
96406,2017,USA,73,Female,2
96407,2017,USA,3,Male,4
96408,2017,USA,44,Female,2
96409,2017,USA,80,Female,2
96410,2017,USA,14,Male,6
96411,2017,USA,60,Female,1
96412,2017,USA,11,Female,4
96413,2017,USA,71,Male,4
96414,2017,USA,1,Male,4
96415,2017,USA,36,Male,4
96416,2017,USA,42,Female,3
96417,2017,USA,33,Female,5
96418,2017,USA,15,Female,3
96419,2017,USA,15,Female,4
96420,2017,USA,60,Male,4
96421,2017,USA,12,Female,5
96422,2017,USA,66,Female,6
96423,2017,USA,2,Male,6
96424,2017,USA,1,Male,5
96425,2017,USA,15,Male,3
96426,2017,USA,80,Male,1
96427,2017,USA,11,Female,7
96428,2017,USA,37,Female,4
96429,2017,USA,80,Male,2
96430,2017,USA,8,Male,6
96431,2017,USA,47,Male,2
96432,2017,USA,47,Female,2
96433,2017,USA,35,Female,4
96434,2017,USA,3,Female,5
96435,2017,USA,10,Female,6
96436,2017,USA,74,Male,5
96437,2017,USA,3,Female,4
96438,2017,USA,5.40E-79,Male,4
96439,2017,USA,63,Male,4
96440,2017,USA,66,Male,1
96441,2017,USA,61,Female,5
96442,2017,USA,14,Male,4
96443,2017,USA,24,Female,5
96444,2017,USA,21,Female,7
96445,2017,USA,66,Male,4
96446,2017,USA,62,Female,1
96447,2017,USA,5.40E-79,Male,4
96448,2017,USA,50,Female,2
96449,2017,USA,61,Female,3
96450,2017,USA,53,Female,2
96451,2017,USA,80,Female,1
96452,2017,USA,38,Male,5
96453,2017,USA,24,Female,7
96454,2017,USA,1,Male,3
96455,2017,USA,34,Male,2
96456,2017,USA,69,Female,2
96457,2017,USA,58,Male,3
96458,2017,USA,1,Male,4
96459,2017,USA,5,Female,3
96460,2017,USA,2,Female,4
96461,2017,USA,3,Male,5
96462,2017,USA,65,Male,3
96463,2017,USA,26,Male,3
96464,2017,USA,25,Male,7
96465,2017,USA,41,Female,5
96466,2017,USA,31,Female,5
96467,2017,USA,16,Female,4
96468,2017,USA,66,Female,2
96469,2017,USA,42,Female,4
96470,2017,USA,47,Male,3
96471,2017,USA,65,Male,3
96472,2017,USA,5,Male,3
96473,2017,USA,79,Male,2
96474,2017,USA,37,Female,5
96475,2017,USA,51,Male,2
96476,2017,USA,37,Female,4
96477,2017,USA,65,Male,1
96478,2017,USA,18,Male,6
96479,2017,USA,56,Female,2
96480,2017,USA,65,Male,3
96481,2017,USA,29,Male,4
96482,2017,USA,11,Male,7
96483,2017,USA,49,Female,3
96484,2017,USA,27,Male,4
96485,2017,USA,21,Female,4
96486,2017,USA,77,Male,2
96487,2017,USA,19,Male,1
96488,2017,USA,62,Male,2
96489,2017,USA,57,Female,3
96490,2017,USA,39,Female,4
96491,2017,USA,53,Female,3
96492,2017,USA,4,Male,7
96493,2017,USA,8,Male,4
96494,2017,USA,5,Male,4
96495,2017,USA,22,Male,4
96496,2017,USA,1,Male,2
96497,2017,USA,22,Female,4
96498,2017,USA,10,Male,3
96499,2017,USA,11,Female,3
96500,2017,USA,24,Male,4
96501,2017,USA,50,Male,3
96502,2017,USA,60,Female,1
96503,2017,USA,72,Female,3
96504,2017,USA,13,Female,6
96505,2017,USA,40,Female,6
96506,2017,USA,77,Male,2
96507,2017,USA,37,Female,3
96508,2017,USA,46,Female,5
96509,2017,USA,21,Male,6
96510,2017,USA,32,Female,5
96511,2017,USA,41,Male,1
96512,2017,USA,64,Male,2
96513,2017,USA,24,Male,1
96514,2017,USA,80,Female,2
96515,2017,USA,69,Male,1
96516,2017,USA,18,Female,1
96517,2017,USA,54,Female,2
96518,2017,USA,14,Female,5
96519,2017,USA,33,Female,7
96520,2017,USA,6,Male,5
96521,2017,USA,62,Male,1
96522,2017,USA,52,Female,2
96523,2017,USA,21,Female,3
96524,2017,USA,8,Male,7
96525,2017,USA,80,Male,4
96526,2017,USA,63,Male,1
96527,2017,USA,6,Male,4
96528,2017,USA,37,Female,6
96529,2017,USA,66,Male,2
96530,2017,USA,8,Male,3
96531,2017,USA,3,Female,4
96532,2017,USA,45,Female,4
96533,2017,USA,15,Male,4
96534,2017,USA,48,Female,2
96535,2017,USA,4,Male,6
96536,2017,USA,9,Male,3
96537,2017,USA,66,Female,5
96538,2017,USA,51,Female,4
96539,2017,USA,9,Female,5
96540,2017,USA,66,Male,5
96541,2017,USA,5,Male,6
96542,2017,USA,17,Female,3
96543,2017,USA,46,Female,3
96544,2017,USA,13,Male,2
96545,2017,USA,17,Female,5
96546,2017,USA,44,Male,5
96547,2017,USA,44,Female,5
96548,2017,USA,28,Female,5
96549,2017,USA,5.40E-79,Male,4
96550,2017,USA,15,Male,4
96551,2017,USA,36,Female,4
96552,2017,USA,43,Male,6
96553,2017,USA,58,Male,2
96554,2017,USA,31,Male,2
96555,2017,USA,46,Male,5
96556,2017,USA,5.40E-79,Female,5
96557,2017,USA,38,Male,5
96558,2017,USA,29,Male,2
96559,2017,USA,13,Male,7
96560,2017,USA,71,Male,1
96561,2017,USA,53,Male,4
96562,2017,USA,9,Female,5
96563,2017,USA,15,Female,3
96564,2017,USA,57,Female,1
96565,2017,USA,18,Female,6
96566,2017,USA,23,Male,2
96567,2017,USA,2,Female,5
96568,2017,USA,80,Male,2
96569,2017,USA,77,Male,2
96570,2017,USA,10,Male,4
96571,2017,USA,58,Female,2
96572,2017,USA,8,Male,4
96573,2017,USA,46,Female,5
96574,2017,USA,39,Female,5
96575,2017,USA,5.40E-79,Male,5
96576,2017,USA,56,Male,2
96577,2017,USA,9,Male,7
96578,2017,USA,54,Male,3
96579,2017,USA,10,Female,7
96580,2017,USA,27,Male,2
96581,2017,USA,9,Male,7
96582,2017,USA,47,Male,1
96583,2017,USA,79,Male,2
96584,2017,USA,10,Female,3
96585,2017,USA,62,Male,5
96586,2017,USA,65,Female,6
96587,2017,USA,30,Male,2
96588,2017,USA,40,Male,6
96589,2017,USA,15,Female,5
96590,2017,USA,27,Female,5
96591,2017,USA,1,Male,5
96592,2017,USA,80,Male,2
96593,2017,USA,30,Male,3
96594,2017,USA,39,Male,4
96595,2017,USA,64,Female,2
96596,2017,USA,35,Male,3
96597,2017,USA,4,Female,4
96598,2017,USA,67,Female,3
96599,2017,USA,72,Male,2
96600,2017,USA,25,Female,3
96601,2017,USA,3,Male,3
96602,2017,USA,80,Male,2
96603,2017,USA,60,Male,3
96604,2017,USA,35,Female,4
96605,2017,USA,40,Male,3
96606,2017,USA,14,Male,3
96607,2017,USA,71,Male,2
96608,2017,USA,30,Male,6
96609,2017,USA,36,Female,7
96610,2017,USA,34,Female,3
96611,2017,USA,10,Male,5
96612,2017,USA,5,Female,4
96613,2017,USA,7,Female,5
96614,2017,USA,79,Male,3
96615,2017,USA,62,Male,2
96616,2017,USA,51,Male,4
96617,2017,USA,7,Female,5
96618,2017,USA,36,Female,3
96619,2017,USA,23,Female,3
96620,2017,USA,2,Male,4
96621,2017,USA,43,Female,4
96622,2017,USA,40,Female,4
96623,2017,USA,53,Male,2
96624,2017,USA,36,Male,5
96625,2017,USA,26,Male,6
96626,2017,USA,23,Male,3
96627,2017,USA,3,Female,3
96628,2017,USA,32,Male,2
96629,2017,USA,46,Female,2
96630,2017,USA,41,Male,3
96631,2017,USA,37,Male,3
96632,2017,USA,80,Female,2
96633,2017,USA,65,Male,3
96634,2017,USA,59,Male,3
96635,2017,USA,2,Male,7
96636,2017,USA,40,Female,5
96637,2017,USA,17,Male,4
96638,2017,USA,58,Male,3
96639,2017,USA,78,Male,2
96640,2017,USA,5,Male,4
96641,2017,USA,35,Male,2
96642,2017,USA,67,Male,3
96643,2017,USA,2,Male,3
96644,2017,USA,66,Male,2
96645,2017,USA,27,Male,2
96646,2017,USA,44,Male,7
96647,2017,USA,14,Female,5
96648,2017,USA,67,Male,2
96649,2017,USA,51,Male,4
96650,2017,USA,1,Female,4
96651,2017,USA,49,Female,1
96652,2017,USA,63,Male,2
96653,2017,USA,28,Male,3
96654,2017,USA,80,Male,3
96655,2017,USA,13,Male,4
96656,2017,USA,24,Male,5
96657,2017,USA,26,Male,1
96658,2017,USA,60,Male,4
96659,2017,USA,58,Female,2
96660,2017,USA,61,Female,2
96661,2017,USA,24,Female,2
96662,2017,USA,5.40E-79,Male,3
96663,2017,USA,20,Female,3
96664,2017,USA,1,Female,2
96665,2017,USA,1,Female,5
96666,2017,USA,52,Male,2
96667,2017,USA,69,Male,3
96668,2017,USA,5.40E-79,Female,3
96669,2017,USA,55,Female,5
96670,2017,USA,12,Female,4
96671,2017,USA,37,Female,5
96672,2017,USA,32,Male,1
96673,2017,USA,6,Male,5
96674,2017,USA,30,Male,3
96675,2017,USA,18,Female,4
96676,2017,USA,39,Male,2
96677,2017,USA,25,Female,3
96678,2017,USA,1,Female,4
96679,2017,USA,30,Female,6
96680,2017,USA,6,Female,6
96681,2017,USA,33,Female,3
96682,2017,USA,10,Male,4
96683,2017,USA,41,Female,2
96684,2017,USA,35,Male,3
96685,2017,USA,17,Female,3
96686,2017,USA,9,Male,5
96687,2017,USA,80,Female,3
96688,2017,USA,58,Male,2
96689,2017,USA,11,Female,4
96690,2017,USA,5,Female,4
96691,2017,USA,5,Male,5
96692,2017,USA,29,Male,2
96693,2017,USA,18,Female,7
96694,2017,USA,39,Male,3
96695,2017,USA,25,Female,3
96696,2017,USA,18,Male,3
96697,2017,USA,25,Male,4
96698,2017,USA,40,Male,3
96699,2017,USA,59,Female,3
96700,2017,USA,68,Male,6
96701,2017,USA,74,Male,2
96702,2017,USA,17,Female,4
96703,2017,USA,5.40E-79,Female,4
96704,2017,USA,80,Female,1
96705,2017,USA,40,Male,4
96706,2017,USA,40,Male,1
96707,2017,USA,64,Female,3
96708,2017,USA,52,Female,2
96709,2017,USA,1,Male,5
96710,2017,USA,19,Female,1
96711,2017,USA,36,Female,4
96712,2017,USA,80,Female,2
96713,2017,USA,74,Male,2
96714,2017,USA,5.40E-79,Male,3
96715,2017,USA,13,Male,7
96716,2017,USA,3,Female,6
96717,2017,USA,5.40E-79,Male,2
96718,2017,USA,80,Male,1
96719,2017,USA,50,Female,2
96720,2017,USA,80,Male,2
96721,2017,USA,32,Female,2
96722,2017,USA,68,Male,2
96723,2017,USA,38,Female,3
96724,2017,USA,8,Female,5
96725,2017,USA,33,Female,4
96726,2017,USA,61,Female,1
96727,2017,USA,76,Female,4
96728,2017,USA,6,Male,5
96729,2017,USA,8,Female,7
96730,2017,USA,53,Female,2
96731,2017,USA,41,Male,4
96732,2017,USA,57,Male,2
96733,2017,USA,12,Female,6
96734,2017,USA,19,Female,5
96735,2017,USA,3,Male,5
96736,2017,USA,72,Male,2
96737,2017,USA,34,Female,5
96738,2017,USA,1,Male,4
96739,2017,USA,20,Male,3
96740,2017,USA,27,Male,2
96741,2017,USA,10,Female,4
96742,2017,USA,6,Male,4
96743,2017,USA,33,Male,4
96744,2017,USA,33,Male,5
96745,2017,USA,52,Female,1
96746,2017,USA,17,Male,5
96747,2017,USA,5.40E-79,Female,3
96748,2017,USA,37,Female,5
96749,2017,USA,8,Male,4
96750,2017,USA,53,Female,1
96751,2017,USA,12,Female,4
96752,2017,USA,54,Female,4
96753,2017,USA,78,Male,2
96754,2017,USA,79,Female,6
96755,2017,USA,80,Female,2
96756,2017,USA,23,Female,4
96757,2017,USA,12,Female,5
96758,2017,USA,47,Male,2
96759,2017,USA,19,Female,5
96760,2017,USA,48,Male,4
96761,2017,USA,7,Female,6
96762,2017,USA,8,Male,3
96763,2017,USA,14,Male,4
96764,2017,USA,27,Male,5
96765,2017,USA,12,Female,5
96766,2017,USA,52,Female,3
96767,2017,USA,1,Male,7
96768,2017,USA,56,Female,2
96769,2017,USA,1,Female,3
96770,2017,USA,78,Female,1
96771,2017,USA,67,Female,2
96772,2017,USA,2,Female,3
96773,2017,USA,5,Female,3
96774,2017,USA,28,Female,3
96775,2017,USA,80,Female,1
96776,2017,USA,19,Male,3
96777,2017,USA,60,Male,2
96778,2017,USA,17,Female,5
96779,2017,USA,5.40E-79,Male,6
96780,2017,USA,80,Male,6
96781,2017,USA,7,Male,5
96782,2017,USA,10,Male,5
96783,2017,USA,58,Female,7
96784,2017,USA,74,Male,4
96785,2017,USA,80,Female,3
96786,2017,USA,28,Male,4
96787,2017,USA,79,Female,1
96788,2017,USA,29,Female,2
96789,2017,USA,80,Female,1
96790,2017,USA,34,Male,5
96791,2017,USA,1,Female,4
96792,2017,USA,61,Female,1
96793,2017,USA,54,Male,7
96794,2017,USA,8,Male,4
96795,2017,USA,22,Male,3
96796,2017,USA,78,Male,2
96797,2017,USA,8,Female,4
96798,2017,USA,70,Male,1
96799,2017,USA,75,Male,2
96800,2017,USA,53,Male,7
96801,2017,USA,5,Male,3
96802,2017,USA,5,Female,4
96803,2017,USA,4,Male,4
96804,2017,USA,67,Male,2
96805,2017,USA,64,Female,5
96806,2017,USA,14,Male,7
96807,2017,USA,5.40E-79,Male,6
96808,2017,USA,5,Male,5
96809,2017,USA,80,Male,2
96810,2017,USA,39,Female,3
96811,2017,USA,35,Female,7
96812,2017,USA,72,Male,1
96813,2017,USA,30,Male,3
96814,2017,USA,5.40E-79,Female,7
96815,2017,USA,77,Male,1
96816,2017,USA,60,Female,5
96817,2017,USA,13,Female,7
96818,2017,USA,49,Male,4
96819,2017,USA,6,Female,6
96820,2017,USA,47,Male,2
96821,2017,USA,21,Male,3
96822,2017,USA,19,Male,2
96823,2017,USA,18,Male,5
96824,2017,USA,3,Male,5
96825,2017,USA,29,Male,2
96826,2017,USA,29,Male,5
96827,2017,USA,73,Male,3
96828,2017,USA,11,Male,3
96829,2017,USA,38,Female,3
96830,2017,USA,63,Male,2
96831,2017,USA,4,Female,5
96832,2017,USA,5.40E-79,Male,4
96833,2017,USA,34,Female,4
96834,2017,USA,77,Male,1
96835,2017,USA,68,Female,1
96836,2017,USA,59,Female,7
96837,2017,USA,8,Male,3
96838,2017,USA,32,Female,2
96839,2017,USA,22,Female,3
96840,2017,USA,67,Male,2
96841,2017,USA,74,Male,1
96842,2017,USA,75,Female,1
96843,2017,USA,16,Male,5
96844,2017,USA,55,Male,4
96845,2017,USA,5.40E-79,Female,7
96846,2017,USA,5,Female,4
96847,2017,USA,44,Female,5
96848,2017,USA,56,Female,3
96849,2017,USA,11,Female,6
96850,2017,USA,17,Male,4
96851,2017,USA,61,Female,5
96852,2017,USA,35,Male,7
96853,2017,USA,5.40E-79,Female,4
96854,2017,USA,38,Female,1
96855,2017,USA,80,Female,2
96856,2017,USA,5,Male,3
96857,2017,USA,1,Female,4
96858,2017,USA,11,Male,4
96859,2017,USA,17,Male,3
96860,2017,USA,22,Female,2
96861,2017,USA,11,Male,4
96862,2017,USA,51,Female,2
96863,2017,USA,56,Male,2
96864,2017,USA,6,Female,7
96865,2017,USA,28,Female,7
96866,2017,USA,80,Male,4
96867,2017,USA,5,Female,4
96868,2017,USA,42,Female,5
96869,2017,USA,49,Male,2
96870,2017,USA,61,Female,4
96871,2017,USA,72,Male,2
96872,2017,USA,2,Male,3
96873,2017,USA,80,Female,1
96874,2017,USA,55,Female,2
96875,2017,USA,56,Female,2
96876,2017,USA,60,Female,4
96877,2017,USA,60,Male,1
96878,2017,USA,80,Male,2
96879,2017,USA,25,Female,2
96880,2017,USA,5.40E-79,Female,4
96881,2017,USA,16,Female,4
96882,2017,USA,44,Female,4
96883,2017,USA,66,Female,5
96884,2017,USA,55,Female,3
96885,2017,USA,24,Male,4
96886,2017,USA,1,Female,5
96887,2017,USA,57,Female,2
96888,2017,USA,4,Female,4
96889,2017,USA,5,Female,4
96890,2017,USA,20,Male,2
96891,2017,USA,41,Male,3
96892,2017,USA,65,Female,1
96893,2017,USA,42,Male,5
96894,2017,USA,48,Male,4
96895,2017,USA,60,Female,2
96896,2017,USA,80,Female,4
96897,2017,USA,15,Male,6
96898,2017,USA,56,Male,5
96899,2017,USA,21,Male,3
96900,2017,USA,24,Male,3
96901,2017,USA,33,Female,5
96902,2017,USA,75,Male,1
96903,2017,USA,51,Male,5
96904,2017,USA,8,Female,4
96905,2017,USA,3,Female,5
96906,2017,USA,74,Male,2
96907,2017,USA,35,Female,3
96908,2017,USA,73,Female,2
96909,2017,USA,38,Male,4
96910,2017,USA,10,Female,5
96911,2017,USA,4,Female,3
96912,2017,USA,50,Male,2
96913,2017,USA,25,Female,4
96914,2017,USA,4,Female,4
96915,2017,USA,49,Male,5
96916,2017,USA,69,Female,2
96917,2017,USA,3,Male,4
96918,2017,USA,7,Male,3
96919,2017,USA,12,Female,6
96920,2017,USA,5.40E-79,Female,3
96921,2017,USA,57,Male,3
96922,2017,USA,57,Male,2
96923,2017,USA,9,Female,2
96924,2017,USA,16,Female,3
96925,2017,USA,27,Male,4
96926,2017,USA,59,Male,2
96927,2017,USA,70,Male,2
96928,2017,USA,71,Male,2
96929,2017,USA,7,Female,4
96930,2017,USA,70,Male,2
96931,2017,USA,10,Female,4
96932,2017,USA,1,Male,4
96933,2017,USA,59,Male,3
96934,2017,USA,55,Female,1
96935,2017,USA,41,Male,3
96936,2017,USA,7,Female,7
96937,2017,USA,13,Male,6
96938,2017,USA,65,Female,5
96939,2017,USA,32,Female,5
96940,2017,USA,59,Female,2
96941,2017,USA,39,Female,2
96942,2017,USA,15,Male,2
96943,2017,USA,9,Male,4
96944,2017,USA,70,Female,2
96945,2017,USA,18,Male,4
96946,2017,USA,77,Male,2
96947,2017,USA,11,Female,7
96948,2017,USA,33,Male,1
96949,2017,USA,5.40E-79,Female,2
96950,2017,USA,6,Female,5
96951,2017,USA,36,Female,2
96952,2017,USA,63,Female,2
96953,2017,USA,60,Female,5
96954,2017,USA,55,Male,3
96955,2017,USA,64,Male,4
96956,2017,USA,70,Male,2
96957,2017,USA,9,Male,7
96958,2017,USA,24,Female,6
96959,2017,USA,33,Male,3
96960,2017,USA,47,Female,4
